boundary_id,artifact,segment_identity,payload_offset,size,producer_offset,producer_size,source,decoded_state,target_sha256,replay_backend,replay_evidence_id,raw_evidence_id,notes
th04-op-boundary-0e428,th04-op,mz-load-module,0xE428,0x68,0xE428,0xD0,src/shared/hardware/bgimage.cpp,decoded-exact,a3570677d5037587c2d7a6f631bc1ac4691522f942433408228c8a12d5af5e83,op-maine-bgimage-v489,ev-th04-op-bgimage-aggregate-v489,ev-th04-op-bgimage-snap-decoded-raw-v508,Existing BGIMAGE snap acceptance; packed file offset intentionally absent
th04-op-boundary-0e490,th04-op,mz-load-module,0xE490,0x35,0xE428,0xD0,src/shared/hardware/bgimage.cpp,decoded-exact,df0e7b086874d21a2dd35e3d836dafc561425407edf8119a80b532784182498b,op-maine-bgimage-v489,ev-th04-op-bgimage-aggregate-v489,ev-th04-op-bgimage-put-decoded-raw-v508,Existing BGIMAGE put acceptance; adjacent alignment NOP belongs to producer not function
th04-op-boundary-0e4c6,th04-op,mz-load-module,0xE4C6,0x32,0xE428,0xD0,src/shared/hardware/bgimage.cpp,decoded-exact,051096d9987d3b0c3022651744f3983d8b16857ff40e4bf9cd2277b88a14000d,op-maine-bgimage-v489,ev-th04-op-bgimage-aggregate-v489,ev-th04-op-bgimage-free-decoded-raw-v508,Existing BGIMAGE free acceptance; packed file offset intentionally absent
th04-maine-boundary-0d626,th04-maine,mz-load-module,0xD626,0x68,0xD626,0xD0,src/shared/hardware/bgimage.cpp,decoded-exact,69dc24bce89e4139ae6bd3e43ee2dae6669f73de05a4b7e197a5e619e74cbf9e,op-maine-bgimage-v489,ev-th04-maine-bgimage-aggregate-v489,ev-th04-maine-bgimage-snap-decoded-raw-v508,Existing BGIMAGE snap acceptance; packed file offset intentionally absent
th04-maine-boundary-0d68e,th04-maine,mz-load-module,0xD68E,0x35,0xD626,0xD0,src/shared/hardware/bgimage.cpp,decoded-exact,a05b95bcb74df0a6bc1b0ca9b74bcb3ce4fe80d95a9836c2a52b6d4bbdda5d76,op-maine-bgimage-v489,ev-th04-maine-bgimage-aggregate-v489,ev-th04-maine-bgimage-put-decoded-raw-v508,Existing BGIMAGE put acceptance; adjacent alignment NOP belongs to producer not function
th04-maine-boundary-0d6c4,th04-maine,mz-load-module,0xD6C4,0x32,0xD626,0xD0,src/shared/hardware/bgimage.cpp,decoded-exact,494149273437cd9367ab54e6091ce7f2c6d0310a2df93e0eb495ef12eae8a6c3,op-maine-bgimage-v489,ev-th04-maine-bgimage-aggregate-v489,ev-th04-maine-bgimage-free-decoded-raw-v508,Existing BGIMAGE free acceptance; packed file offset intentionally absent
th04-zun-boundary-00dcf,th04-zun,com-payload,0xDCF,0x98,0xB68,0x18D8,src/zun/config/cfg_init.cpp,source-present,8fc23f22f653db2afd65ad4cdab19776f5e9f1cdbbfa9de2dd407426fed9bfa2,zun-resident-link,ev-th04-zun-separate-link-v317,,Linked component has 13 differing cfg_init bytes under current six-byte shift; no decoded acceptance
th04-zun-boundary-00e67,th04-zun,com-payload,0xE67,0xFC,0xB68,0x18D8,src/zun/resident/main.cpp,source-present,db04398b52ca5780c734f839e2cf3768718f7f7c65705a9cdb9e88e34aa64871,zun-resident-link,ev-th04-zun-separate-link-v317,,Natural main is 246 versus 252 target bytes; no decoded acceptance
th04-op-boundary-0da12,th04-op,mz-load-module,0xDA12,0x29,0xDA12,0x29,src/shared/hardware/vram_planes.cpp,decoded-exact,61209f3e66ab804442a484e2827402fd67c5de3da5a8ff47085bb70c3e213f52,op-maine-vram-v509,ev-th04-op-vram-aggregate-v509,ev-th04-op-vram-raw-v509,Artifact-local natural-source cold relink raw-matches full decoded far function; packed offset absent
th04-maine-boundary-0cc7a,th04-maine,mz-load-module,0xCC7A,0x29,0xCC7A,0x29,src/shared/hardware/vram_planes.cpp,decoded-exact,52fae504f84407d7119423f8545d49c19890c2b76b302ee5e6465e2588d35e35,op-maine-vram-v509,ev-th04-maine-vram-aggregate-v509,ev-th04-maine-vram-raw-v509,Artifact-local natural-source cold relink raw-matches full decoded far function; packed offset absent
th04-op-boundary-0da3b,th04-op,mz-load-module,0xDA3B,0x15,0xDA3B,0x15,src/shared/hardware/frame_delay.cpp,decoded-exact,1683f148a8bda60e6dbbe69510b3d79544e84057d6b7721facfaed4820f134aa,op-maine-frame-delay-v510,ev-th04-op-frame-delay-aggregate-v510,ev-th04-op-frame-delay-raw-v510,Artifact-local natural-source cold relink raw-matches full decoded far function; packed offset absent
